Name, Gender, Country, Birthplace, Latitude, Longitude, Born, Died, Biography, Picture, Source
"Alfred Aho", "Male", "Canada", "Timmins, Ontario", "", "", "1941", "", "A Canadian computer scientist and author.", "alfred_aho.jpg", "https://en.wikipedia.org/wiki/Alfred_Aho"
"Frances E. Allen", "Female", "USA", "Peru, New York", "", "", "1932", "", "An American computer and optimising compiler pioneer.", "frances_e_allen.jpg", "https://en.wikipedia.org/wiki/Frances_E._Allen"
"Sanjeev Arora", "Male", "India", "Jodhpur, Rajasthan", "", "", "1968", "", "An Indian theoretical computer scientist.", "sanjeev_arora.jpg", "https://en.wikipedia.org/wiki/Sanjeev_Arora"
"Charles Bachman", "Male", "USA", "Manhattan, Kansas", "", "", "1924", "", "An American computer scientist and software practitioner.", "charles_bachman.jpg", "https://en.wikipedia.org/wiki/Charles_Bachman"
"Victor Bahl", "Male", "India", "New Delhi", "", "", "1964", "", "An Indian/American computer scientist and researcher.", "victor_bahl.jpg", "https://en.wikipedia.org/wiki/Victor_Bahl"
"Rudolf Bayer", "Male", "Germany", "Munich", "", "", "1939", "", "An German computer scientist.", "rudolf_bayer.jpg", "https://en.wikipedia.org/wiki/Rudolf_Bayer"
"Gordon Bell", "Male", "USA", "Kirksville, Missouri", "", "", "1934", "", "An American electrical engineer and entrepreneur.", "gordon_bell.jpg", "https://en.wikipedia.org/wiki/Gordon_Bell"
"David Blei", "Male", "USA", "Rhode Island", "", "", "1975", "", "An American computer scientist. Date of birth approximate.", "david_blei.jpg", "https://en.wikipedia.org/wiki/David_Blei"
"Manuel Blum", "Male", "Venezuela", "Caracas", "", "", "1938", "", "A Venezuelan computer scientist.", "manuel_blum.jpg", "https://en.wikipedia.org/wiki/Manuel_Blum"
"Tommy Flowers", "Male", "England", "London", "", "", "1905", "", "A British engineer and War hero.", "tommy_flowers.jpg", "https://en.wikipedia.org/wiki/Tommy_Flowers"
"Corrado Böhm", "Male", "Italy", "Milan", "", "", "1923", "", "An Italian theoretical computer scientist.", "corrado_bohm.jpg", "https://en.wikipedia.org/wiki/Corrado_B%C3%B6hm"
"Gottlob Frege", "Male", "Germany", "Wismar", "", "", "1848", "", "A German logician, philosopher and mathematician.", "gottlob_frege.jpg", "https://en.wikipedia.org/wiki/Gottlob_Frege"
"Seymour Ginsberg", "Male", "USA", "Brooklyn, New York", "", "", "1927", "", "An American pioneer in formal language, automata and database theory.", "seymour_ginsberg.jpg", "https://en.wikipedia.org/wiki/Seymour_Ginsburg"
"Kurt Gödel", "Male", "Austria", "Brünn", "", "", "1906", "1978", "An Austrian/American logician, mathematician and philosopher.", "kurt_godel.jpg", "https://en.wikipedia.org/wiki/Kurt_G%C3%B6del"
"Lois Haibt", "Female", "USA", "Lower Westchester, New York", "", "", "1934", "", "An American computer scientist and early software practitioner.", "lois_haibt.jpg", "https://en.wikipedia.org/wiki/Lois_Haibt"
"Margaret Hamilton", "Female", "USA", "Paoli, Indiana", "", "", "1936", "", "An American computer scientist and pioneering software engineer.", "margaret_hamilton.jpg", "https://en.wikipedia.org/wiki/Margaret_Hamilton_(scientist)"
"C. A. R. Hoare", "Male", "England", "Colombo, British Ceylon", "6.9271", "79.8612", "1934", "", "An English computer scientist and programming language pioneer.", "car_hoare.jpg", "https://en.wikipedia.org/wiki/Tony_Hoare"
"Herman Hollerith", "Male", "USA", "Buffalo, New York", "", "", "1860", "1929", "An American inventor and mechanical engineer.", "herman_hollerith.jpg", "https://en.wikipedia.org/wiki/Herman_Hollerith"
"Grace Hopper", "Female", "USA", "New York City, New York", "", "", "1906", "1992", "An American computer scientist and United States Navy Rear Admiral.", "grace_hopper.jpg", "https://en.wikipedia.org/wiki/Grace_Hopper"
"Cuthbert Hurd", "Male", "USA", "Estherville, Iowa", "", "", "1911", "1996", "An American computer scientist and entrepreneur.", "cuthbert_hurd.jpg", "https://en.wikipedia.org/wiki/Cuthbert_Hurd"
"Kenneth E. Iverson", "Male", "Canada", "Camrose, Alberta", "", "", "1920", "2004", "A Canadian computer scientist.", "kenneth_e_iverson.jpg", "https://en.wikipedia.org/wiki/Kenneth_E._Iverson"
"Joseph Marie Jacquard", "Male", "France", "Oullins", "", "", "1752", "1834", "A French weaver, merchant and inventor.", "joseph_jacquard.jpg", "https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard"
