Name, Gender, Country, Born, Died, Biography
"Muḥammad ibn Mūsā al-Khwārizmī", "Male", "Persia", "780", "850", "A Persian mathematician, astronomer and geographer during the Abbasid Caliphate, a scholar in the House of Wisdom in Baghdad."
"John Vincent Atanasoff", "Male", "USA", "1903", "1995", "An American physicist and inventor."
"Charles Babbage", "Male", "England", "1791", "1871", "An English mathematician, philosopher, inventor and mechanical engineer."
"John Backus", "Male", "USA", "1924", "2007", "A highly-awarded computer scientist from Pennsylvania, USA."
"Jean Bartik", "Female", "USA", "1924", "2011", "An early computer programmer from Missouri, USA."
"Tim Berners-Lee", "Male", "England", "1955", "-", "A physicist, computer scientist from London, England."
"George Boole", "Male", "England", "1815", "1864", "An English mathematician, logician and philosopher."
